avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id,age,gender,marital_status
239.0,D00-AD,0,0.927427,5,0,medium,0.783737,Left,5,127589,24,Female,Unmarried
257.0,D00-SS,0,0.9909370000000001,5,0,low,0.751387,Left,6,123038,24,Female,Unmarried
260.0,D00-UN,0,1.0,5,0,low,0.808455,Left,5,128184,23,Female,Unmarried
125.0,D00-TP,0,0.0,3,0,medium,0.0,Left,1,120360,24,Female,Unmarried
308.0,D00-FN,0,0.736991,7,0,low,0.08079580000000001,Left,4,121453,49,Female,Married
239.0,D00-SS,0,0.906676,4,0,low,0.7374569999999999,Left,5,126451,25,Female,Unmarried
306.0,D00-SS,0,0.830333,6,0,high,0.0674799,Left,4,126317,30,Female,Married
141.0,D00-SS,0,0.46214099999999997,2,0,low,0.435337,Left,3,120175,25,Female,Unmarried
159.0,D00-ENG,0,0.722725376662377,2,0,high,0.37597800000000003,Left,3,111951,23,Female,Unmarried
143.0,D00-SP,0,0.512455,2,0,medium,0.48424399999999995,Left,3,111423,25,Female,Unmarried
270.0,D00-ENG,0,0.9157719999999999,5,0,medium,0.8710950000000001,Left,5,124781,23,Female,Unmarried
261.0,D00-SP,0,0.832946,6,0,low,0.115881,Left,4,114831,42,Female,Married
301.0,D00-ENG,0,0.737223,4,0,low,0.464158,Left,5,112846,25,Female,Unmarried
296.0,D00-SS,0,0.87755,7,0,low,0.13683499999999998,Left,4,128630,33,Female,Married
271.0,D00-SS,0,0.8919159999999999,5,0,low,0.17943199999999998,Left,4,120770,24,Female,Unmarried
244.0,D00-MT,0,0.7871060000000001,6,0,low,0.11398299999999999,Left,4,112282,46,Female,Married
129.0,D00-SS,0,0.710672301578354,2,0,low,0.447517,Left,3,125903,22,Female,Unmarried
290.0,D00-FN,0,0.808025,6,0,medium,0.059197,Left,4,129594,34,Female,Married
290.0,D00-ENG,0,0.7702479999999999,6,0,medium,0.0903428,Left,4,117772,46,Female,Married
249.0,D00-SP,0,0.997662,4,0,low,0.805852,Left,5,110508,22,Female,Unmarried
151.0,D00-ENG,0,0.506563,2,0,medium,0.35549000000000003,Left,3,112452,23,Female,Unmarried
225.0,D00-SS,0,0.893351,4,0,medium,0.814574,Left,5,128219,23,Female,Unmarried
253.0,D00-ENG,0,1.0,5,0,medium,0.852952,Left,5,126639,23,Female,Unmarried
269.0,D00-FN,0,0.932009,6,0,medium,0.0633131,Left,4,123331,47,Female,Married
274.0,D00-ENG,0,0.944104,6,0,low,0.15925799999999998,Left,4,118903,25,Female,Unmarried
155.0,D00-MT,0,0.536342,2,0,low,0.43599,Left,3,118983,36,Female,Married
255.0,D00-SP,0,0.917034,7,0,low,0.15051900000000001,Left,4,115221,33,Male,Married
149.0,D00-PD,0,0.607982,6,0,low,0.471637,Left,4,129163,31,Female,Married
271.0,D00-SS,0,0.64205,3,0,low,0.41869399999999996,Left,4,124226,22,Female,Unmarried
268.0,D00-ENG,0,0.922942,6,0,medium,0.0650439,Left,4,114776,22,Male,Unmarried
153.0,D00-UN,0,0.7176792874999995,2,0,low,0.45510100000000003,Left,3,121337,25,Female,Unmarried
294.0,D00-UN,0,0.587699,3,0,low,0.76039,Left,4,119768,22,Female,Unmarried
293.0,D00-SP,0,0.857715,6,0,low,0.14166199999999998,Left,4,113143,40,Female,Married
309.0,D00-ENG,0,0.908443,7,0,low,0.1035,Left,4,126535,48,Female,Married
235.0,D00-IT,0,0.957642,5,0,low,0.725715,Left,5,126561,22,Female,Unmarried
158.0,D00-IT,0,0.546333,2,0,low,0.391487,Left,3,115017,24,Female,Unmarried
273.0,D00-SP,0,0.734583,3,0,low,0.520728,Left,6,128872,22,Female,Unmarried
277.0,D00-IT,0,0.9496,2,0,medium,0.723212,Left,3,112281,28,Male,Unmarried
290.0,D00-SS,0,0.8595280000000001,7,0,low,0.127906,Left,4,111435,38,Female,Married
267.0,D00-SP,0,0.801303,5,0,medium,0.8589629999999999,Left,5,111357,25,Female,Unmarried
249.0,D00-SP,0,0.9979180000000001,4,0,medium,0.8116949999999999,Left,6,125156,24,Female,Unmarried
127.0,D00-IT,0,0.568392,2,0,low,0.45554399999999995,Left,3,120189,23,Female,Unmarried
245.0,D00-SS,0,0.904587,4,0,low,0.724119,Left,6,124725,23,Female,Unmarried
198.0,D00-AD,1,0.571508,5,0,low,0.63736,Left,5,124761,25,Female,Unmarried
160.0,D00-SS,0,0.420976,2,1,low,0.375963,Left,3,113099,24,Female,Unmarried
131.0,D00-FN,0,0.465087,2,0,low,0.46545299999999995,Left,3,125515,23,Female,Unmarried
150.0,D00-PD,0,0.601995,2,0,low,0.44277,Left,3,111957,25,Female,Unmarried
146.0,D00-SP,0,0.484583,2,0,low,0.47108500000000003,Left,3,112662,24,Female,Unmarried
254.0,D00-SP,0,0.8505299999999999,6,0,low,0.0850537,Left,5,121651,41,Female,Married
152.0,D00-MT,0,0.506971,2,0,medium,0.387467,Left,3,115628,22,Female,Unmarried
151.0,D00-PD,0,0.43895100000000004,2,0,low,0.389023,Left,3,125676,22,Female,Unmarried
135.0,D00-SS,0,0.540937,2,0,low,0.312896,Left,5,125999,22,Female,Unmarried
236.0,D00-PD,0,0.8965629999999999,5,0,low,0.765251,Left,6,118541,25,Female,Unmarried
158.0,D00-SP,0,0.7231704095688735,2,0,low,0.338341,Left,3,129462,24,Female,Unmarried
145.0,D00-SS,0,0.502312,2,0,low,0.405199,Left,3,111774,49,Male,Married
160.0,D00-SS,0,0.5089319999999999,2,0,low,0.40725900000000004,Left,3,124270,23,Female,Unmarried
279.0,D00-SS,0,0.79986,6,0,low,0.09856160000000001,Left,4,111233,54,Female,Married
274.0,D00-SP,0,0.878575,5,0,medium,0.79105,Left,6,118361,28,Male,Unmarried
296.0,D00-SS,0,0.677557,2,0,medium,0.467873,Left,5,114462,25,Female,Unmarried
259.0,D00-SP,0,0.848992,6,0,medium,0.178243,Left,5,117092,52,Male,Married
164.0,D00-SS,0,0.714642,4,0,low,0.524464,Left,2,116698,28,Male,Unmarried
253.0,D00-MT,0,0.83395,6,0,medium,0.14541400000000002,Left,4,112773,44,Male,Married
297.0,D00-SS,0,0.8787209999999999,6,0,high,0.104844,Left,5,115412,23,Male,Unmarried
151.0,D00-SS,0,0.710672301578354,2,0,low,0.42148,Left,3,111116,23,Female,Unmarried
130.0,D00-SP,0,0.548987,2,0,medium,0.422146,Left,3,118046,23,Female,Unmarried
258.0,D00-ENG,0,0.9592129999999999,4,0,medium,0.9449489999999999,Left,5,111562,28,Male,Unmarried
140.0,D00-SP,0,0.521566,2,0,low,0.46104399999999995,Left,3,113738,47,Male,Married
281.0,D00-MN,0,0.99766,6,0,medium,0.107146,Left,4,110438,31,Female,Married
156.0,D00-FN,0,0.528929,2,0,high,0.31292800000000004,Left,3,126579,24,Female,Unmarried
153.0,D00-FN,0,0.7247044787878789,2,0,low,0.356232,Left,3,117468,25,Female,Unmarried
223.0,D00-SS,0,0.8375969999999999,5,0,low,0.738441,Left,5,117159,23,Female,Unmarried
147.0,D00-SP,0,0.45200100000000004,2,0,low,0.34499,Left,3,113211,51,Male,Married
148.0,D00-SS,0,0.533172,2,0,low,0.36141999999999996,Left,3,115247,23,Male,Unmarried
246.0,D00-SS,0,0.9447610000000001,4,0,low,0.9281729999999999,Left,5,129323,22,Female,Unmarried
310.0,D00-PD,0,0.524456,5,0,medium,0.414488,Left,3,126390,24,Female,Unmarried
137.0,D00-ENG,0,0.499013,2,0,medium,0.504321,Left,3,110118,23,Female,Unmarried
303.0,D00-FN,0,0.8664219999999999,5,0,medium,0.06098630000000001,Left,5,116771,22,Female,Unmarried
151.0,D00-MN,0,0.522235,2,0,low,0.42108199999999996,Left,3,123359,25,Female,Unmarried
150.0,D00-SP,0,0.531091,2,0,low,0.429583,Left,3,110191,24,Female,Unmarried
239.0,D00-IT,0,0.8242299999999999,4,0,low,0.776066,Left,6,118749,25,Female,Unmarried
202.0,D00-SS,0,0.710672301578354,3,0,medium,0.42550299999999996,Left,3,113867,23,Female,Unmarried
279.0,D00-SS,0,0.807814,6,0,low,0.126932,Left,4,127553,46,Female,Married
127.0,D00-IT,0,0.516111,2,0,low,0.357358,Left,3,112716,22,Female,Unmarried
136.0,D00-SS,0,0.48096000000000005,2,0,medium,0.401807,Left,3,119437,24,Female,Unmarried
274.0,D00-SS,0,0.574151,2,0,low,0.7325050000000001,Left,4,112066,22,Male,Unmarried
156.0,D00-SS,1,0.498253,2,0,low,0.45362399999999997,Left,3,120884,24,Female,Unmarried
261.0,D00-IT,0,0.878444,6,0,medium,0.10173099999999999,Left,4,126747,32,Female,Married
136.0,D00-SS,0,0.53546,2,0,low,0.48785100000000003,Left,3,113308,22,Female,Unmarried
287.0,D00-ENG,0,0.9185620000000001,6,0,low,0.14211300000000002,Left,4,129482,39,Female,Married
218.0,D00-IT,1,0.85036,4,0,low,0.822958,Left,5,111568,39,Male,Married
172.0,D00-SS,0,0.710672301578354,5,0,low,0.326353,Left,2,126959,25,Female,Unmarried
305.0,D00-ENG,0,0.881748,7,0,medium,0.139059,Left,4,126226,37,Female,Married
291.0,D00-SS,0,0.8192790000000001,6,0,low,0.10179400000000001,Left,4,121608,47,Female,Married
246.0,D00-UN,0,0.8840899999999999,6,0,medium,0.13150499999999998,Left,4,115133,34,Female,Married
243.0,D00-PD,0,0.9239379999999999,6,0,high,0.154765,Left,4,129924,33,Female,Married
256.0,D00-SP,0,0.9629340000000001,6,0,low,0.0798577,Left,4,126368,30,Female,Married
228.0,D00-SP,0,0.9681120000000001,5,0,low,0.75621,Left,5,123258,23,Female,Unmarried
283.0,D00-ENG,0,0.789851,7,0,low,0.128018,Left,5,116362,34,Male,Married
242.0,D00-SP,0,0.846659,5,0,medium,0.7721210000000001,Left,5,114759,29,Male,Unmarried
245.0,D00-ENG,0,0.8852959999999999,5,0,low,0.817257,Left,5,126986,23,Female,Unmarried
260.0,D00-IT,0,0.876539,5,0,medium,0.872302,Left,5,110235,25,Female,Unmarried
192.0,D00-SS,0,0.551225,7,0,low,0.21058400000000002,Left,3,120655,46,Female,Married
158.0,D00-SP,0,0.5471590000000001,2,0,low,0.358773,Left,3,119989,51,Male,Married
306.0,D00-ENG,0,0.8936350000000001,6,0,low,0.16686600000000001,Left,4,114238,27,Male,Unmarried
154.0,D00-ENG,0,0.889985,3,0,medium,0.401073,Left,4,119337,23,Female,Unmarried
298.0,D00-SS,0,0.888568,6,0,low,0.14453,Left,4,110133,46,Male,Married
285.0,D00-IT,0,0.931751,7,0,low,0.0737981,Left,4,122457,41,Female,Married
260.0,D00-SP,0,0.895906,5,0,low,0.8679479999999999,Left,5,129990,23,Female,Unmarried
159.0,D00-PD,0,0.7195233438320212,2,0,low,0.324768,Left,3,111738,26,Male,Unmarried
156.0,D00-SS,0,0.41995600000000005,2,0,low,0.38645,Left,3,127703,25,Female,Unmarried
147.0,D00-SP,0,0.582465,2,0,low,0.44229399999999996,Left,3,118948,23,Female,Unmarried
247.0,D00-ENG,0,0.876086,5,0,low,0.83846,Left,5,110665,23,Female,Unmarried
246.0,D00-SS,1,0.8557549999999999,5,0,medium,0.830533,Left,5,119980,26,Male,Unmarried
216.0,D00-ENG,0,1.0,4,0,low,0.753578,Left,6,129685,24,Female,Unmarried
140.0,D00-UN,0,0.5309619999999999,2,0,medium,0.43993999999999994,Left,3,111673,24,Female,Unmarried
247.0,D00-SS,0,0.942873,7,0,medium,0.144449,Left,4,128659,51,Female,Married
280.0,D00-ENG,0,0.6301770000000001,2,0,low,0.327048,Left,4,123252,24,Female,Unmarried
265.0,D00-SS,0,0.792833,4,0,low,0.920042,Left,6,111351,25,Female,Unmarried
128.0,D00-SS,0,0.498708,2,0,medium,0.423624,Left,3,116572,24,Female,Unmarried
255.0,D00-SP,0,0.8949239999999999,7,0,medium,0.17525,Left,4,113178,31,Female,Married
263.0,D00-ENG,0,1.0,4,0,medium,0.829606,Left,6,129044,22,Female,Unmarried
255.0,D00-SP,0,0.930584,7,0,medium,0.08061839999999999,Left,4,115307,40,Female,Married
132.0,D00-SS,0,0.477055,2,0,medium,0.495775,Left,3,122572,25,Female,Unmarried
136.0,D00-ENG,0,0.529917,2,0,low,0.377291,Left,3,111962,23,Female,Unmarried
141.0,D00-SS,1,0.462154,2,0,low,0.466326,Left,3,117757,24,Female,Unmarried
131.0,D00-SS,0,0.485783,2,0,low,0.349181,Left,3,112450,23,Female,Unmarried
296.0,D00-ENG,0,0.8855430000000001,7,0,medium,0.09247000000000001,Left,4,123971,28,Female,Married
137.0,D00-SS,0,0.710672301578354,2,0,low,0.41846700000000003,Left,3,111912,22,Female,Unmarried
258.0,D00-SS,0,0.967462,2,0,low,0.667322,Left,5,118136,22,Female,Unmarried
159.0,D00-SS,0,0.544412,2,0,medium,0.422724,Left,3,115233,23,Female,Unmarried
129.0,D00-ENG,0,0.558944,2,0,medium,0.469451,Left,3,123573,24,Female,Unmarried
276.0,D00-SP,0,0.752432,5,0,low,0.115195,Left,4,122152,22,Female,Unmarried
139.0,D00-SS,0,0.5853510000000001,2,0,low,0.475075,Left,3,111005,25,Female,Unmarried
142.0,D00-SS,0,0.710672301578354,2,0,low,0.44781800000000005,Left,3,119822,25,Female,Unmarried
130.0,D00-SS,0,0.484567,2,0,low,0.455295,Left,3,128303,23,Female,Unmarried
285.0,D00-ENG,0,0.901575,6,0,low,0.131683,Left,4,116549,46,Female,Married
285.0,D00-FN,0,0.754973,6,0,medium,0.09041510000000001,Left,4,123927,50,Female,Married
309.0,D00-SS,0,0.8763059999999999,6,0,medium,0.101742,Left,4,110550,36,Female,Married
263.0,D00-SP,0,0.887814,4,0,low,0.773491,Left,5,118142,22,Female,Unmarried
276.0,D00-SS,0,0.902899,6,0,low,0.09613989999999999,Left,4,128622,33,Female,Married
285.0,D00-IT,0,0.797767,7,0,medium,0.125959,Left,4,115278,42,Male,Married
155.0,D00-IT,0,0.525671,2,0,low,0.38108800000000004,Left,3,126982,23,Female,Unmarried
299.0,D00-SS,1,0.819308,6,0,low,0.129074,Left,4,128620,36,Female,Married
158.0,D00-SP,0,0.5435760000000001,2,0,low,0.35252,Left,3,129181,23,Female,Unmarried
270.0,D00-SS,0,0.855482,4,0,low,0.8848969999999999,Left,5,117890,24,Female,Unmarried
278.0,D00-MT,0,0.9492389999999999,6,0,low,0.09384939999999999,Left,4,117601,50,Female,Married
143.0,D00-UN,0,0.5092720000000001,2,0,medium,0.429593,Left,3,114547,25,Female,Unmarried
282.0,D00-MT,0,0.6767449999999999,2,0,low,0.356162,Left,5,112646,25,Female,Unmarried
247.0,D00-SS,0,0.516293,2,0,medium,0.059792099999999994,Left,4,113224,39,Male,Married
158.0,D00-SS,0,0.554521,2,0,low,0.365284,Left,3,111135,38,Male,Married
142.0,D00-SP,0,0.7231704095688735,2,0,medium,0.484054,Left,3,110364,22,Female,Unmarried
151.0,D00-AD,0,0.458269,2,0,medium,0.381992,Left,3,120488,23,Female,Unmarried
247.0,D00-ENG,0,0.8434200000000001,4,0,low,0.813122,Left,6,127020,22,Female,Unmarried
255.0,D00-SS,0,0.8619100000000001,6,0,low,0.135853,Left,4,118213,40,Male,Married
241.0,D00-SS,0,0.9720690000000001,5,0,medium,0.786684,Left,5,119615,25,Female,Unmarried
143.0,D00-SS,0,0.561972,2,0,low,0.41594200000000003,Left,3,128928,24,Female,Unmarried
290.0,D00-SS,0,0.896066,7,0,low,0.101141,Left,4,123853,44,Female,Married
290.0,D00-MN,0,0.755191,7,0,low,0.080867,Left,4,124961,43,Female,Married
267.0,D00-SP,0,0.828781,5,0,low,0.789816,Left,5,116866,25,Female,Unmarried
156.0,D00-SS,1,0.414742,2,0,low,0.361317,Left,3,119040,23,Female,Unmarried
159.0,D00-SS,0,0.710672301578354,2,0,low,0.405428,Left,3,112121,23,Female,Unmarried
160.0,D00-ENG,0,0.6008979999999999,2,0,medium,0.40791,Left,3,113512,24,Female,Unmarried
232.0,D00-SS,0,0.9607540000000001,4,0,low,0.884619,Left,5,117565,22,Female,Unmarried
141.0,D00-SS,1,0.503339,2,0,low,0.501475,Left,3,123162,22,Female,Unmarried
139.0,D00-MT,0,0.533964,2,0,low,0.385363,Left,3,111800,43,Male,Married
160.0,D00-SS,0,0.48082299999999994,2,0,low,0.398427,Left,3,117397,23,Female,Unmarried
258.0,D00-SS,0,0.950414,2,0,low,0.652081,Left,5,110577,23,Female,Unmarried
268.0,D00-SP,0,0.953886,6,0,low,0.16906300000000002,Left,4,128931,41,Female,Married
134.0,D00-SP,0,0.526204,2,0,low,0.388992,Left,3,116217,22,Male,Unmarried
148.0,D00-SS,0,0.710672301578354,2,0,low,0.430123,Left,3,117262,24,Female,Unmarried
136.0,D00-ENG,0,0.7867350000000001,5,0,low,0.0878727,Left,2,114632,22,Female,Unmarried
137.0,D00-IT,0,0.5432170000000001,2,0,medium,0.44206999999999996,Left,3,126341,24,Female,Unmarried
144.0,D00-UN,0,0.45896400000000004,2,0,medium,0.382781,Left,3,125586,22,Female,Unmarried
157.0,D00-SS,0,0.503556,2,0,low,0.328297,Left,3,118385,22,Female,Unmarried
280.0,D00-ENG,0,0.8391850000000001,6,0,low,0.0702263,Left,4,121861,46,Female,Married
264.0,D00-ENG,0,0.9635299999999999,5,0,medium,0.74303,Left,5,119824,25,Female,Unmarried
137.0,D00-FN,0,0.526296,2,0,medium,0.455517,Left,3,122944,23,Female,Unmarried
149.0,D00-PD,0,0.515149,2,0,high,0.42107,Left,3,110519,53,Male,Married
291.0,D00-PD,0,0.876973,6,0,low,0.06684860000000001,Left,4,123000,41,Female,Married
254.0,D00-SS,0,0.547034,4,0,low,0.505422,Left,4,125121,24,Female,Unmarried
158.0,D00-SS,0,0.5125850000000001,2,0,low,0.37104899999999996,Left,3,126516,25,Female,Unmarried
138.0,D00-MT,0,0.520361,2,0,medium,0.403928,Left,3,121428,25,Female,Unmarried
153.0,D00-SP,0,0.536117,2,0,low,0.36667,Left,3,119322,43,Female,Married
278.0,D00-ENG,0,0.815264,6,0,high,0.0792939,Left,4,112123,41,Female,Married
159.0,D00-SS,0,0.597303,2,0,medium,0.417487,Left,3,123877,23,Female,Unmarried
154.0,D00-SS,0,0.607358,2,0,low,0.41717299999999996,Left,3,116127,23,Female,Unmarried
310.0,D00-UN,0,0.732204,6,0,low,0.11191400000000001,Left,4,114952,23,Male,Unmarried
156.0,D00-MN,0,0.454041,2,0,medium,0.400145,Left,3,118492,22,Female,Unmarried
280.0,D00-SP,0,0.957407,6,0,low,0.15842699999999998,Left,4,115874,37,Male,Married
249.0,D00-MT,0,0.697713,3,0,medium,0.781751,Left,5,119371,50,Male,Married
224.0,D00-FN,0,0.469179,7,0,medium,0.19819,Left,5,122758,39,Female,Married
160.0,D00-MT,0,0.426595,2,0,medium,0.3736,Left,3,129865,24,Female,Unmarried
273.0,D00-MN,0,0.850542,4,0,low,0.811183,Left,5,120433,24,Female,Unmarried
143.0,D00-ENG,0,0.562405,2,0,medium,0.420525,Left,3,129655,25,Female,Unmarried
298.0,D00-SS,0,0.9651379999999999,6,0,low,0.0946862,Left,4,115706,26,Male,Unmarried
239.0,D00-MT,0,1.0,5,0,low,0.843067,Left,6,115424,24,Female,Unmarried
251.0,D00-MT,0,0.9445819999999999,4,0,medium,0.829317,Left,5,125406,25,Female,Unmarried
160.0,D00-SS,0,0.49209899999999995,2,0,low,0.363487,Left,3,113247,28,Female,Married
140.0,D00-ENG,0,0.536804,2,0,medium,0.376617,Left,3,121907,24,Female,Unmarried
136.0,D00-UN,0,0.515691,2,0,low,0.368244,Left,3,123674,25,Female,Unmarried
142.0,D00-SS,0,0.538917,2,0,low,0.35589699999999996,Left,3,127169,23,Female,Unmarried
260.0,D00-SS,0,0.513827,4,0,medium,0.588318,Left,3,126524,22,Female,Unmarried
290.0,D00-ENG,0,0.76584,6,0,medium,0.0827398,Left,5,126214,31,Female,Married
245.0,D00-SS,0,0.835256,5,0,low,0.8297979999999999,Left,5,113303,25,Female,Unmarried
124.0,D00-TP,0,0.0,3,0,low,0.0,Left,1,116012,25,Female,Unmarried
289.0,D00-SS,0,0.8521629999999999,7,0,low,0.07031230000000001,Left,4,112487,51,Female,Married
257.0,D00-FN,0,1.0,5,0,medium,0.886461,Left,5,118135,22,Female,Unmarried
233.0,D00-IT,0,1.0,4,0,low,0.714841,Left,5,112968,25,Female,Unmarried
269.0,D00-IT,0,0.797653,6,0,low,0.071595,Left,4,123099,27,Female,Married
228.0,D00-UN,0,0.9372020000000001,4,0,low,0.745604,Left,5,118080,25,Male,Unmarried
119.0,D00-TP,0,0.0,2,0,medium,0.0,Left,1,116287,22,Female,Unmarried
248.0,D00-PD,0,1.0,5,0,medium,0.836733,Left,5,122086,24,Female,Unmarried
261.0,D00-FN,0,0.828202,6,0,medium,0.153197,Left,4,120176,26,Female,Married
218.0,D00-SS,0,0.9710040000000001,4,0,low,0.75095,Left,5,115770,22,Female,Unmarried
172.0,D00-SS,0,0.710672301578354,5,0,low,0.383471,Left,2,113487,47,Male,Married
270.0,D00-SP,1,0.8229920000000001,5,0,medium,0.777664,Left,5,129531,23,Female,Unmarried
257.0,D00-SP,0,0.797304,6,0,low,0.11494700000000001,Left,4,121175,50,Female,Married
128.0,D00-SS,0,0.5173439999999999,2,0,low,0.39065300000000003,Left,3,113196,23,Female,Unmarried
151.0,D00-IT,0,0.545662,2,0,low,0.380905,Left,3,113595,43,Male,Married
145.0,D00-IT,0,0.538776,2,0,low,0.33669,Left,3,123762,23,Female,Unmarried
135.0,D00-IT,0,0.527794,2,0,low,0.341672,Left,3,113326,24,Female,Unmarried
304.0,D00-ENG,0,0.82532,6,0,low,0.11586300000000001,Left,4,123610,31,Female,Married
136.0,D00-IT,0,0.546984,2,0,low,0.318171,Left,3,128970,25,Female,Unmarried
132.0,D00-ENG,0,0.520296,2,0,medium,0.374531,Left,3,128674,25,Female,Unmarried
248.0,D00-SP,0,1.0,5,0,medium,0.700604,Left,5,111481,24,Female,Unmarried
141.0,D00-SS,0,0.529515,2,0,low,0.394023,Left,3,119885,24,Female,Unmarried
132.0,D00-SS,0,0.5716220000000001,5,0,low,0.301249,Left,5,129693,25,Female,Unmarried
147.0,D00-SS,0,0.710672301578354,2,0,low,0.47513199999999994,Left,3,122010,25,Female,Unmarried
149.0,D00-SP,0,0.5170819999999999,2,0,low,0.428383,Left,3,124075,23,Female,Unmarried
129.0,D00-MN,0,0.7290698123827397,2,0,low,0.488907,Left,3,110457,40,Female,Married
151.0,D00-SS,0,0.498054,2,0,low,0.385963,Left,3,114524,23,Female,Unmarried
144.0,D00-SS,0,0.576558,2,0,low,0.465891,Left,3,119723,25,Female,Unmarried
159.0,D00-PD,0,0.5257890000000001,2,0,medium,0.44166700000000003,Left,3,129013,24,Female,Unmarried
156.0,D00-SS,0,0.495712,2,0,medium,0.48593400000000003,Left,3,117715,25,Female,Unmarried
146.0,D00-MT,0,0.519571,2,0,low,0.426425,Left,3,113703,22,Female,Unmarried
150.0,D00-SS,0,0.42501700000000003,2,0,low,0.481675,Left,3,121622,24,Female,Unmarried
236.0,D00-SS,0,1.0,3,0,medium,0.319276,Left,4,126087,25,Female,Unmarried
262.0,D00-IT,0,0.9012479999999999,5,0,low,0.7178859999999999,Left,5,117187,24,Female,Unmarried
143.0,D00-FN,0,0.525877,2,0,medium,0.354678,Left,3,129025,25,Female,Unmarried
244.0,D00-ENG,0,0.867343,6,0,medium,0.129053,Left,4,126377,52,Female,Married
249.0,D00-IT,0,0.983261,4,0,low,0.809117,Left,5,124473,23,Female,Unmarried
151.0,D00-MN,0,0.539141,2,0,low,0.45263400000000004,Left,3,122410,24,Female,Unmarried
